"sen_id";"sen_hash";"sen_quotes";"sen_maj";"sen_words";"sen_sentence";"sen_en_p";"sen_en_o";"sen_en_full";"sen_checked";"sen_checked_date"
"3289";"6854e6dbbe8b715be916931f0842282f";"0";"4";"35";"Elu le 3 juillet 2018 au terme d’un corps-à-corps viril avec son rival, Alexandre Saubot, il hérite alors d’une organisation divisée, dont l’image a été abîmée par les sorties provocatrices de son prédécesseur, Pierre Gattaz";"1";"1";"1";"1";"2019-07-08 11:09:15"
"3290";"fe9b6f84a9f4c17c8565a083015d260c";"0";"3";"11";"Le Medef renonce à inviter Marion Maréchal à son université d’été";"1";"1";"1";"1";"2019-07-08 11:09:13"
"3291";"11ce443bde88fcdd733e463b8b9bad09";"0";"2";"6";"Il succède à Antonio Tajani (PPE)";"1";"1";"1";"1";"2019-07-08 11:09:11"
"3292";"65455e6204f905126b2bcf6efbaf1e39";"0";"0";"32";"La démocratie la plus peuplée du monde a élu ses députés au cours d’un vote marathon étalé sur six semaines entre avril et mai, le plus grand scrutin jamais organisé dans l’histoire";"0";"0";"0";"1";"2019-07-08 11:10:38"
"3293";"29b5038d6d68fdfe44200c840ee17c38";"0";"6";"37";"Il l'a emporté au second tour avec 345 voix, contre 160 pour le conservateur eurosceptique (ECR) tchèque Jan Zahradil (ECR), 119 pour l'écologiste allemande Ska Keller et 43 pour la candidate d'extrême gauche, l'Espagnole Sira Rego (GUE/NGL)";"1";"1";"1";"1";"2019-07-08 11:09:09"
"3294";"feaeb99999e89fa33e3dbada80c45e32";"0";"2";"5";"Moins clivant que Pierre Gattaz";"1";"1";"1";"1";"2019-07-08 11:09:04"
"3295";"8d27abc5c1380ea214a0525c06fc78b4";"0";"1";"22";"Celui-ci risque de ne même pas hériter, comme lot de consolation, de la présidence du Parlement européen – cela ferait trop d’Allemands";"0";"1";"1";"1";"2019-07-08 11:10:44"
"3296";"4d89866ea6dc3959f34d432461ec4e0f";"0";"0";"20";"Les socialistes réclament aussi leur dû, étant arrivés en deuxième position au niveau européen, derrière les conservateurs, aux élections européennes";"0";"0";"0";"1";"2019-07-08 11:10:47"
"3297";"42555ad31ac3909bd74601a33f747d35";"0";"3";"11";"Cécile Ducourtieux (Bruxelles, bureau européen) et   Jean-Pierre Stroobants (Bruxelles, bureau européen)";"1";"1";"1";"1";"2019-07-08 10:58:17"
"3298";"614064d527e680804a9353758ae1b05b";"0";"1";"38";"Le comptage des voix, enregistrées sur des machines électroniques dans plus d’un million de bureaux de vote, a débuté jeudi à 8 heures (heure locale) – soit 4 h 30, heure de Paris – à travers le pays";"0";"0";"0";"1";"2019-07-08 10:58:15"
"3299";"0e0807a482854db9302ccb6e0c4812a6";"0";"1";"11";"PORTRAIT-David Sassoli : des plateaux télévisés au perchoir de l'hémicycle européen";"1";"1";"1";"1";"2019-07-08 10:58:10"
"3300";"0886e404a08cd67fe04669d213e09ac0";"0";"1";"21";"Après l'accord trouvé mardi soir au Conseil, l'Europe a ainsi fini le casting, très tortueux et complexe, de ses futurs dirigeants";"0";"1";"1";"1";"2019-07-08 10:58:08"
"3301";"d5c78153218a18af505795e5c90436ff";"0";"6";"34";"Légalement, la nomination de l'Allemande Ursula von der Leyer à la tête de la Commission européenne, et celle de l'Espagnol Josep Borrell comme haut-représentant de la diplomatie, doivent encore être validées par le Parlement";"1";"1";"1";"1";"2019-07-08 10:58:00"
"3302";"343239013424ecc060732a72a129d1d6";"0";"0";"6";"Réagissez ou consultez l’ensemble des contributions";"0";"0";"0";"1";"2019-07-08 10:57:55"
"3303";"a04656359565dab4abbf6d74f18858b8";"0";"1";"14";"Des pluies torrentielles dans le sud du Japon, plus d’un million de personnes évacuées";"0";"0";"1";"1";"2019-07-08 10:57:53"
"3304";"bf956a327f66c3a9b1657d971ad12f45";"0";"0";"12";"Dubaï, ses malls monumentaux, ses gratte-ciel vertigineux et ses princesses qui s’échappent";"0";"0";"0";"1";"2019-07-08 10:57:49"
"3305";"3b64fd89a97df5f5eb0e4cb93304dda4";"0";"1";"18";"Le Kremlin ne parvient pas à maintenir le secret après l’accident à bord d’un sous-marin Édition du jour";"0";"1";"1";"1";"2019-07-08 10:57:46"
"3306";"f6aa827d3d586a11145755f214a7c8af";"0";"0";"5";"Daté du vendredi 5 juillet";"0";"0";"0";"1";"2019-07-08 10:57:43"
"3307";"940a847366241d475b431f7b230c9b9e";"0";"0";"7";"Ce vote crucial interviendra dans deux semaines";"0";"0";"0";"1";"2019-07-08 10:57:41"
"3308";"d3d8d33c64efbb14eb6996ae3ae116c0";"0";"2";"5";"Annonces automobiles avec La Centrale";"0";"1";"1";"1";"2019-07-08 10:57:39"
"3310";"51682a114436099124b9321663bfdccc";"0";"1";"21";"67 % des 900 millions d’électeurs indiens se sont exprimés pour ces dix-septièmes législatives depuis l’indépendance du géant d’Asie du Sud";"0";"0";"0";"1";"2019-07-08 10:57:31"
"3312";"86ba272861e2077e0af4fe1dbad060d7";"0";"5";"38";"Mais l'élection de David Sassoli découle d'un accord entre le PPE (droite) et le S &amp; D (sociaux-démocrates) qui éloigne - sans certitudes absolues pour autant - le spectre d'un rejet qui ferait s'écrouler le château de cartes";"1";"1";"1";"1";"2019-07-08 10:57:22"
"3313";"43788d3bfee344d598bb1e7b881af370";"0";"2";"12";"ANALYSE : L'Italie face à l'inexorable déclin de son influence en Europe";"0";"0";"0";"1";"2019-07-08 10:57:20"
"3314";"7f736b904edac6e949e49af0a15d511a";"0";"2";"22";"Le PPE a, en effet, renoncé à présenter un candidat à la présidence du Parlement pour apporter son soutien au candidat socialiste";"0";"1";"1";"1";"2019-07-08 11:10:51"
"3315";"76408ebf313dfebbc8d3db3f79dec3be";"0";"1";"12";"Officieusement, en échange d'assurances qu'ils garderont bien la présidence de la Commission";"0";"1";"1";"1";"2019-07-08 11:11:44"
"3316";"2879c2e85b3297bad35f6b527254c764";"0";"2";"21";"A défaut, il menaçait de faire élire l'écologiste Ska Keller et de laisser les socialistes se contenter du poste de haut-représentant";"1";"1";"1";"1";"2019-07-08 11:09:20"
"3317";"612b3446681b12b2128384771d5c79d8";"0";"1";"14";"Comme entre 2014 et 2019, la présidence du Parlement sera partagée en deux mandats";"0";"1";"1";"1";"2019-07-08 11:11:49"
"3319";"db52a40db1ca017c8d7a0e8a4ac0676d";"0";"2";"23";"Pratiquant une ultra-personnification du pouvoir et doté d’un sens politique redoutable, Narendra Modi avait fait de ces législatives un quasi-référendum sur sa personne";"1";"1";"1";"1";"2019-07-08 11:09:23"
"3320";"692911c41d93d7ea2d10474e651eaf47";"0";"0";"22";"Cet adepte d’une gouvernance par coups d’éclat a axé sa campagne sur un discours sécuritaire anxiogène, s’érigeant en défenseur de la nation";"0";"0";"0";"1";"2019-07-08 11:37:45"
"3321";"1338f9d7819fb5bae48230fb1516b838";"0";"7";"21";"C'est le même schéma qui avait vu le PPE Antonio Tajani succéder en janvier 2017 au S &amp; D Martin Schulz";"1";"1";"1";"1";"2019-07-08 11:09:26"
"3323";"2263a71abfd697a3c7472a396cc7d982";"0";"3";"30";"Des supportrices du premier ministre indien, Narendra Modi, se réjouissent de la victoire qui se profile pour le BJP en faisant le signe de la victoire, le 23 mai 2019";"1";"1";"1";"1";"2019-07-08 11:09:25"
"3324";"42130e8713e5b9fc85afe4da4dcba01c";"0";"0";"8";"[PROMO] 2->Tui : payez en 3x sans frais !";"0";"0";"0";"1";"2019-07-08 11:11:07"
"3326";"1b3924ba4269f654e1900ca555492f05";"0";"0";"24";"Le dirigeant nationaliste hindou était il y a cinq ans l’un des premiers représentants de la vague populiste mondiale actuelle à accéder au pouvoir";"0";"0";"0";"1";"2019-07-08 11:13:02"
"3328";"9c57f23cb75df9d5ba8c82b9374b5891";"0";"0";"23";"Vu comme réformateur et favorable aux affaires, il promettait de dynamiser la croissance et de propulser l’Inde au statut de puissance économique majeure";"0";"0";"1";"1";"2019-07-08 11:31:35"
"3329";"3cfd3bb82348956cf755694a0bef1dff";"0";"0";"25";"Au terme de son mandat, qui a aussi vu une crispation politico-religieuse de la société indienne, le premier ministre présente un bilan économique en demi-teinte";"0";"0";"0";"1";"2019-07-08 11:37:58"
"3330";"9c70708469479cb7c2db28fb7100faff";"0";"1";"29";"Ce casting a de quoi laisser un goût amer aux pays de l'Est, qui ne compteront aucun représentant aux cinq postes clés de l'UE (en incluant la BCE )";"0";"1";"1";"1";"2019-07-08 11:55:26"
"3331";"0f1afedfbe40283d6d36d8fb853fa9d4";"0";"0";"10";"Parlement européen : des pouvoirs lentement acquis avec le temps";"0";"1";"1";"1";"2019-07-08 11:13:17"
"3332";"fc22fc0f376a75d4a1e9f047584b43fb";"0";"4";"32";"Son élection permet à l'Italie de se maintenir à l'un de ses trois postes européens importants, après les départs annoncés de Mario Draghi (BCE) et de Federica Mogherini (cheffe de la diplomatie)";"1";"1";"1";"1";"2019-07-08 11:13:19"
"3333";"6a8193dcfce05b67c85f79e14a916f68";"0";"1";"16";"Mais il ne sera clairement pas un allié pour le gouvernement populiste au pouvoir à Rome";"0";"0";"1";"1";"2019-07-08 11:55:19"
"3334";"f71acda4c0e44944438b9a1efcc0c70b";"0";"0";"31";"Malgré un taux de croissance enviable vu de l’extérieur (6,7 % en 2017-2018), la progression est jugée insuffisante au regard du potentiel et des besoins du géant de 1,3 milliard d’habitants";"0";"0";"0";"1";"2019-07-08 11:55:10"
"3335";"3580566dc07945ff8074b29a3715c6e1";"0";"0";"14";"Brexit : l'usine de fabrication des passeports britanniques sous le coup d'un plan social";"0";"0";"0";"1";"2019-07-08 11:55:00"
"3336";"5c2d79ea6b96976463c4c1b177cd77cc";"0";"1";"13";"Le Parlement européen se met en ordre de marche pour sa nouvelle mandature";"0";"1";"1";"1";"2019-07-08 11:13:33"
"3337";"874ebe51528318f8943d3fb5ca70c0e4";"0";"3";"31";"Avec son visage orné d’une barbe blanche et barré de fines lunettes, Narendra Modi est une présence constante dans la vie quotidienne des Indiens depuis son arrivée au pouvoir en 2014";"1";"1";"1";"1";"2019-07-08 11:12:19"
"3338";"a9668d1e30e84d97e7b8963ed9c105bc";"0";"2";"19";"Une saturation de l’espace public que l’Inde n’avait plus connue depuis la première ministre Indira Gandhi, assassinée en 1984";"1";"1";"1";"1";"2019-07-08 11:12:20"
"3339";"42ff3a3b5c28a51f16a9db49d4ed18d8";"0";"0";"8";"Cette performance est pourtant en voie d’être réalisée";"0";"0";"0";"1";"2019-07-08 11:12:22"
"3340";"d4a2e34bd7e1257697e8e7f2a5b83273";"0";"1";"18";"Moscou entretient le mystère sur l'incendie de son sous-marin dans le grand nord Ça se passe en Europe";"0";"1";"1";"1";"2019-07-08 11:12:34"
"3341";"65f72dac4fb3cf154dd2567a0020829a";"0";"1";"11";"Un Italien sur trois ne partira pas en vacances cet été";"0";"0";"0";"1";"2019-07-08 11:13:27"
"3356";"816ecb4c25eac91e35191b6f856077f6";"0";"1";"12";"Quand la mafia corse gagne 4 millions au Loto, la justice déchante";"0";"1";"0";"1";"2019-07-08 14:47:04"
"3358";"93a828007360b341710799e1dd963112";"0";"0";"25";"Faute de pouvoir mettre à mal le crime organisé corse dans les affaires d’assassinats, la justice pensait pouvoir enfin l’affaiblir en le frappant au porte-monnaie";"0";"0";"0";"1";"2019-07-08 14:47:11"
"3359";"0a8d1507f4efa85219c9e9aa5d0a38f6";"0";"1";"30";"La jeune Suédoise est devenue une star mondiale en observant chaque vendredi depuis la rentrée 2018 une grève de l’école pour le climat qui a essaimé sur tous les continents";"0";"0";"0";"1";"2019-07-08 14:47:17"
"3362";"1582ca399eb9e972e0a2571e7bc68701";"0";"0";"21";"Ce procès a une valeur très symbolique pour une opinion insulaire qui voit chaque jour le monde criminel afficher son pouvoir";"0";"0";"0";"1";"2019-07-08 14:47:22"
"3363";"7d78e113d9c8c3818056876b1596c304";"0";"0";"30";"En s’attaquant aux signes extérieurs de richesse du milieu, les autorités montraient que la non-justification de ressources était une piste prometteuse pour faire reculer son emprise sur la société insulaire";"0";"0";"0";"1";"2019-07-08 14:47:26"
"3364";"a306e574c769e6914186650d1b7fb9e9";"0";"1";"35";"La jeune Suédoise, âgée de 16 ans, est devenue une star mondiale en observant chaque vendredi depuis la rentrée 2018 une grève de l’école pour le climat qui a fait florès sur tous les continents";"0";"0";"0";"1";"2019-07-08 14:47:30"
"3365";"ae65d905fa042f7ba335f792374ddcc3";"0";"0";"11";"Un espoir qui a été sérieusement douché par un événement inattendu";"0";"0";"0";"1";"2019-07-08 14:47:32"
"3366";"97c41fbe9be7bbc1911c9208cd910001";"0";"1";"11";"Elle compte près de 2 millions d’abonnés à son compte Instagram";"0";"0";"0";"1";"2019-07-08 14:47:35"
"3367";"038ea737111624ea36ecda236dc655a4";"0";"1";"5";"Voir cette publication sur Instagram";"0";"0";"0";"1";"2019-07-08 14:47:36"
"3368";"6051d36497410ab60e1f64d98bfa3308";"0";"3";"32";"Début 2019, les magistrats et policiers chargés de combattre le crime organisé corse ont appris que le beau-frère du chef du Petit Bar avait gagné, en octobre, quatre millions d’euros… au Loto";"0";"1";"1";"1";"2019-07-08 11:38:24"
"3369";"4c9ef7dba547c1a08e30f5ad0db21045";"0";"4";"15";"Une publication partagée par  Greta Thunberg (@gretathunberg) le 6 Juin 2019 à 10 :53 PDT";"1";"1";"1";"1";"2019-07-08 14:47:38"
"3370";"fd3021eeb3257db5ac83a37c0236a446";"0";"0";"16";"De discrètes vérifications de la police semblent avoir levé les doutes sur la légalité du gain";"0";"0";"0";"1";"2019-07-08 14:47:41"
"3371";"0c2dfd868743dd141045a4489dc329f2";"0";"5";"36";"L’adolescente a annoncé fin mai qu’elle allait prendre une année sabbatique et se rendrait en septembre à New York pour participer au Sommet mondial sur le climat organisé par le secrétaire général de l’ONU, Antonio Guterres";"1";"1";"1";"1";"2019-07-08 14:47:44"
"3372";"56b9f1ca5cacf4b24557bf87ea64fa87";"0";"0";"20";"Les numéros gagnants sont ceux des dates de naissance des enfants de la famille, et ils ont été régulièrement joués";"0";"0";"0";"1";"2019-07-08 14:47:47"
"3373";"dfaf1c16c709cf30ed3ac28006dd06f9";"0";"0";"19";"Elle qui ne se déplace qu’en train réfléchit encore au moyen de franchir l’océan autrement que par les airs";"0";"0";"0";"1";"2019-07-08 14:47:49"
